nelisa_id	uniprot_id	protein_name	max_nelisa_signal
nEL01601	P08476	Activin A	124.58
nEL02541	O14672	ADAM10	108.37
nEL02951	P78536	ADAM17 (TACE)	90.64
nEL03451	Q9UKQ2	ADAM28	37.15
nEL03051	Q13443	ADAM9	221.68
nEL03441	Q9UHI8	ADAM-TS 1	289.62
nEL03461	Q9UNA0	ADAM-TS 5	96.4
nEL03131	Q15848	Adiponectin	110.89
nEL01701	Q9UNG2	AITRL (GITR Ligand)	139.45
nEL03101	Q15389	ANGPT1	148.34
nEL03471	Q9Y5C1	ANGPTL3	110.17
nEL03311	Q9BY76	ANGPTL4	156.1
nEL02571	O43827	ANGPTL7	65.77
nEL02161	P05067	APP	174.22
nEL00011	O75888	APRIL	58.64
nEL02061	P15514	AREG	114.46
nEL00021	Q9Y275	BAFF	68.14
nEL02051	Q02223	BCMA	194.16
nEL01651	P12643	BMP2	41.66
nEL01661	P12645	BMP3	50.26
nEL01671	P12644	BMP4	123.09
nEL01681	P22004	BMP6	48.5
nEL01691	P18075	BMP7	151.94
nEL02071	Q9UK05	BMP9	200.95
nEL03251	Q96GW7	Brevican	135.75
nEL01951	P01031	C5/C5a	48.04
nEL01311	P05937	Calbindin	142.37
nEL00111	P51671	CCL11	55.63
nEL00122	Q99616	CCL13	110.47
nEL00131	Q16627	CCL14	46.4
nEL00141	Q16663	CCL15	137.06
nEL00151	O15467	CCL16	35.46
nEL00161	Q92583	CCL17	59.2
nEL00172	P55774	CCL18	150
nEL00181	Q99731	CCL19	192.29
nEL00051	P13500	CCL2	121.56
nEL00191	P78556	CCL20	79.66
nEL00201	O00585	CCL21	163.38
nEL00221	P55773	CCL23	126.74
nEL00231	O00175	CCL24	152.8
nEL00241	O15444	CCL25	72.41
nEL00261	Q9Y4X3	CCL27	90.56
nEL00271	Q9NRJ3	CCL28	94.11
nEL00061	P10147	CCL3	173.61
nEL00071	P13236	CCL4	211.18
nEL00081	P13501	CCL5	147.48
nEL00091	P80098	CCL7	102.56
nEL02251	P08571	CD14	79.11
nEL01471	Q86VB7	CD163	56.17
nEL03351	Q9NNX6	CD209 antigen	140.92
nEL01321	Q5ZPR3	CD276 (B7-H3)	72.96
nEL01751	P32970	CD27L	268.05
nEL00291	P29965	CD40L	261.41
nEL02911	P33681	CD80 (B7-1)	127.12
nEL03191	P42081	CD86 (B7-2)	169.62
nEL02681	P36222	CHI3L1	67.86
nEL02851	P23946	Chymase	33.4
nEL03411	Q9UBD9	CLC	61.48
nEL02041	P26441	CNTF	100.88
nEL00301	P02741	CRP	133.17
nEL00491	P78423	CX3CL1	122.49
nEL00311	P09341	CXCL1	153.35
nEL00391	P02778	CXCL10	92.9
nEL00401	O14625	CXCL11	112.26
nEL00411	P48061	CXCL12 (alpha)	85.07
nEL02271	P48061	CXCL12 (beta)	61.58
nEL00421	O43927	CXCL13	37.39
nEL00431	O95715	CXCL14	107.3
nEL00441	Q9H2A7	CXCL16	88.21
nEL00452	Q6UXB2	CXCL17	69.43
nEL00331	P19876	CXCL3	35.82
nEL00341	P02776	CXCL4	118.68
nEL00351	P42830	CXCL5	159.05
nEL00361	P80162	CXCL6	55.76
nEL00371	P02775	CXCL7	71.72
nEL00381	Q07325	CXCL9	100.6
nEL02211	P99999	Cytochrome C	283.99
nEL02641	P07585	Decorin	130.88
nEL02891	P27487	DPP4 (CD26)	85.05
nEL03371	Q93038	DR3	94.3
nEL02531	O00220	DR4 (TRAIL R1)	161.75
nEL02601	O75509	DR6	377.35
nEL03141	Q16610	ECM1	123.9
nEL00461	P01133	EGF	129.66
nEL01801	P00533	EGFR	220.36
nEL02661	P08246	ELA2	216.04
nEL01351	P35613	EMMPRIN	175.64
nEL02801	P17813	Endoglin (CD105)	111.36
nEL02791	P16581	E-Selectin (CD62E)	161.96
nEL02881	P25445	FAS	118.74
nEL01721	P48023	FAS-L	284.02
nEL03421	Q9UGM5	Fetuin-B	67.54
nEL00471	P05230	FGF-1	61.02
nEL02141	O95750	FGF-19	166.68
nEL00481	P09038	FGF-2	121.81
nEL02191	Q9NSA1	FGF-21	321.11
nEL02101	P08620	FGF-4	43.84
nEL02111	P10767	FGF-6	69.15
nEL02131	P21781	FGF-7 (KGF)	135.87
nEL02121	P31371	FGF-9	244.38
nEL01362	P22607	FGFR3 (IIIc)	92.09
nEL03021	Q12805	Fibulin-3	172.8
nEL03111	Q15485	Ficolin-2	177.44
nEL02021	O95633	FLRG (FSTL3)	100.31
nEL02691	P36888	Flt-3	92.25
nEL01771	P49771	Flt-3 Ligand	162.24
nEL02721	P09382	Galectin-1	70.95
nEL02811	P17931	Galectin-3	79.34
nEL02521	O00182	Galectin-9	84.94
nEL03071	Q14393	GAS6	191.8
nEL00501	P09919	G-CSF	99.32
nEL01791	O95390	GDF-11 (BMP-11)	154.32
nEL01981	Q99988	GDF-15 (MIC-1)	162.7
nEL02031	P39905	GDNF	197.95
nEL01421	P01241	GH1	218.6
nEL03481	Q9Y5U5	GITR	76.66
nEL00511	P04141	GM-CSF	136.74
nEL00531	P10144	Granzyme B	41.62
nEL00542	P14210	HGF	235.34
nEL02671	P08581	HGF R (c-MET)	95.35
nEL00551	Q92956	HVEM	297.83
nEL00561	P05362	ICAM-1	106.84
nEL00571	P13598	ICAM-2	141.83
nEL02591	O75144	ICOSL (B7-H2)	71.6
nEL01761	P01563	IFN alpha 2	122.13
nEL00591	P01574	IFN beta	76.36
nEL02221	Q86WN2	IFN-epsilon	153.98
nEL00603	P01579	IFN gamma	216.04
nEL01731	P05019	IGF-1	23.4
nEL02821	P17936	IGFBP-3	102.56
nEL02871	P24592	IGFBP-6	121.73
nEL00742	P22301	IL-10	233.15
nEL03011	Q08334	IL-10 RB	113.43
nEL01641	P20809	IL-11	130.88
nEL02311	P29459	IL-12 p35	91.41
nEL00752	P29460	IL-12 p40	102.37
nEL00761	P29459	IL-12 p70	130.73
nEL03201	P42701	IL-12 RB	61.14
nEL02511	P35225	IL-13	123.49
nEL00781	P40933	IL-15	205.73
nEL01781	P40933	IL-15/IL-15RA complex	112.96
nEL00791	Q14005	IL-16	147.61
nEL00801	Q16552	IL-17A	221.3
nEL00811	Q9UHF5	IL-17B	95.85
nEL00821	Q9P0M4	IL-17C	292.1
nEL00831	Q8TAD2	IL-17D	161.91
nEL02261	Q9H293	IL-17E (IL-25)	221.69
