nelisa_id	uniprot_id	protein_name	max_nelisa_signal
nEL00841	Q96PD4	IL-17F	167.29
nEL00621	Q14116	IL-18	101.6
nEL00612	P01583	IL-1 alpha	180.94
nEL00852	P01584	IL-1 beta	111.12
nEL00641	P14778	IL-1 RA	153.97
nEL03391	Q9NPH3	IL-1 RAcP	124.66
nEL00631	P18510	IL-1 RA/RN	92.68
nEL02901	P27930	IL-1 RB	87.64
nEL00651	P60568	IL-2	145.48
nEL00871	Q9HBE4	IL-21	162.31
nEL00881	Q9GZX6	IL-22	127.99
nEL00891	Q969J5	IL-22 BP	50.95
nEL00901	Q9NPF7	IL-23	124.79
nEL01611	Q13007	IL-24	180.57
nEL00911	Q8NEV9	IL-27	177.22
nEL00921	Q8IZJ0	IL-28A	110.76
nEL00931	Q8IU54	IL-29	50.13
nEL00661	P01589	IL-2 RA (CD25)	92.93
nEL00671	P08700	IL-3	37.83
nEL00941	Q6EBC2	IL-31	325.76
nEL00951	P24001	IL-32	123.39
nEL00961	O95760	IL-33	197.04
nEL02181	Q01638	IL-33 R (ST2)	53.13
nEL00971	Q14213	IL-35	105.67
nEL03431	Q9UHA7	IL-36 alpha	150.47
nEL03341	Q9HB29	IL-36 R	131.29
nEL00682	P05112	IL-4	103.43
nEL02861	P24394	IL-4 RA	47.59
nEL00691	P05113	IL-5	113.85
nEL00702	P05231	IL-6	127.97
nEL01521	P08887	IL-6 RA (gp80)	127.36
nEL00711	P13232	IL-7	98.41
nEL00722	P10145	IL-8	117.19
nEL00731	P15248	IL-9	189.84
nEL02741	P10721	Kit (CD117)	150.41
nEL01631	P41159	Leptin	159.47
nEL00981	P15018	LIF	148.74
nEL01541	P78380	LOX1 (OLR1)	228.53
nEL02771	P14151	L-selectin (CD62L)	96.2
nEL02751	P11226	MBP-C	113.48
nEL00992	P09603	M-CSF	203.07
nEL01961	P07333	M-CSF R (CD115)	116.31
nEL01381	Q13421	Mesothelin	210.32
nEL01001	P14174	MIF	108.91
nEL01011	P03956	MMP-1	156.08
nEL01061	P09238	MMP-10	118.28
nEL01071	P39900	MMP-12	134.6
nEL03221	P45452	MMP-13	100.77
nEL01031	P08254	MMP-3	211.97
nEL01041	P09237	MMP-7	128.03
nEL01051	P14780	MMP-9	98.89
nEL02151	P07196	NF-L	138.44
nEL02961	P80188	NGAL (lipocalin-2)	242.15
nEL01081	P01138	NGF beta	125.41
nEL02091	Q02297	NRG1 beta 1	118.53
nEL01511	P13725	Oncostatin M (OSM)	185.85
nEL03081	Q14956	Osteoactivin (GPNMB)	178.55
nEL02001	P10451	Osteopontin (OPN)	210.45
nEL03211	P43489	OX40	69.72
nEL03091	Q15113	PCOLCE	119.89
nEL01551	Q8NBP7	PCSK9	50.36
nEL02971	Q15116	PD-1	137.79
nEL01091	P01127	PDGF-BB	71.51
nEL03401	Q9NZQ7	PD-L1 (B7-H1)	155.54
nEL03291	Q9BQ51	PD-L2	250.55
nEL02611	O75594	PGLYRP1 (PGRP-S)	90.92
nEL01101	P49763	PlGF	131.44
nEL02931	P51888	Prolargin	56.52
nEL01561	P26022	PTX3	100.02
nEL01991	Q9HD89	Resistin	147.42
nEL01111	P0DJI8	SAA	121.23
nEL01121	P21583	SCF	363.45
nEL03031	Q13291	SLAMF1 (CD150)	31.74
nEL02551	O14836	TACI	172.06
nEL02281	P01137	TGF-beta 1 (LAP)	177.92
nEL01132	P01137	TGF-beta 1 (total)	81.42
nEL01481	P61812	TGF-beta 2	129.35
nEL01491	P10600	TGF-beta 3	140.32
nEL02701	P36897	TGF-beta R1 (ALK5)	60.16
nEL02711	P37173	TGF-beta R2	125.3
nEL02981	Q03167	TGF-beta R3	79.04
nEL03121	Q15582	TGFBI (beta ig-h3)	94.47
nEL02631	P07204	Thrombomodulin	99.59
nEL01141	Q02763	Tie-2	126.12
nEL01911	P01033	TIMP1	114.81
nEL02781	P16035	TIMP2	108.59
nEL03271	Q99727	TIMP4	114.83
nEL01411	P13726	Tissue Factor (TF)	66.01
nEL02581	O60603	TLR2	143.59
nEL01152	P01375	TNF alpha	316.99
nEL01161	P01374	TNF beta	35.86
nEL01171	P19438	TNF R1	551.61
nEL01181	P20333	TNF R2	226.25
nEL01191	P36941	TNF R3	285.11
nEL03001	Q07011	TNFRSF9 (4-1BB)	205.39
nEL01201	P40225	TPO	124.14
nEL01211	P50591	TRAIL	68.82
nEL03381	Q9NP99	TREM1	303.49
nEL01571	Q9NZC2	TREM2	202.8
nEL01221	Q969D9	TSLP	133.68
nEL01231	O43508	TWEAK	181.12
nEL03361	Q9NP84	TWEAK R (CD266)	81.98
nEL01581	P00749	uPA	123.42
nEL02991	Q03405	uPA R	123.6
nEL01241	P19320	VCAM-1	254.98
nEL01252	P15692	VEGF-A (165)	133.89
nEL01261	P49767	VEGF-C	107.34
nEL01271	O43915	VEGF-D	184.61
nEL01281	P17948	VEGF R1	147.71
nEL01591	P35968	VEGF R2 (Flk-1)	180.43
nEL03331	Q9H7M9	VISTA	104.92
nEL03491	Q9Y5W5	WIF-1	115.38
nEL02011	O95388	WISP-1 (CCN4)	106.24
nEL02941	P56704	Wnt-3a	89.21
nEL03181	P41221	Wnt-5a	299.93
nEL01621	P47992	XCL1 (Lymphotactin)	86.38
