"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","SDctrl","conv.pass","hd.pass","CI.pass","ld.pass","all.pass","compound_name"
"O00175","Exp3",-0.151617938237783,NA,4.54730859609449,0.188272511251645,NA,0.013170283792095,-484.08,0.94198393117384,0.149454226074179,0.188403987623437,FALSE,4.34511604407569,4.24357259243284,4.43751050315043,0.162063420039248,0.0135668874048321,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O00220","Exp3",0.154557437762794,NA,3.87841360843014,0.188934381952067,NA,0.0127710480936891,-489.25,0.304803896635383,0.257239353841044,0.187777960540625,TRUE,3.75647203500476,3.63910335097003,3.86561025345246,0.213320056728003,0.0114004427301837,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O14625","Exp3",-0.181769483464083,NA,12.4534786522364,0.187973052855555,NA,0.00970134207468363,-535.44,0.192746348622884,0.158138735145153,0.18829808205625,FALSE,4.59775543842132,4.55719640461066,4.63419588394694,0.168895397906883,0.00922918588113783,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O14672","Exp3",0.173311521301049,NA,11.6945476275195,0.19352340529198,NA,0.00917819340381568,-544.75,0.484568303144023,0.216062935061163,0.1935852004625,TRUE,4.70028760487798,4.65330839166326,4.74313382748306,0.211941587270131,0.009139606904775,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O14836","Exp3",0.159881389283626,NA,6.56221642545516,0.18696617046995,NA,0.00644153486812747,-604.23,0.293560561234378,0.221799053202133,0.186898087234375,TRUE,4.13628355099711,4.06343741791871,4.20308503632638,0.19978115697063,0.00623883729526863,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O15467","Hill",15.633130446525,0.0313122603970276,0.209762701089801,4.28629297327693,NA,0.0288318425425972,-351.49,0.535482575290574,0.0589174737641062,0.208972717509375,FALSE,4.09356179319309,4.0638162402062,4.12044321787501,0.151309032424181,0.0294343639073517,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O43508","Poly2",0.185592467809175,-0.00132444517082682,0.000881308537977994,NA,NA,0.00671693590355465,-597.2,0.88447588956055,0.19938498518353,0.18563618736875,TRUE,4.73353332070231,4.52279534368512,4.93365398156973,0.199070059175859,0.00681308263509683,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O75144","Exp3",0.179335557364648,NA,8.05227701118995,0.187380882967359,NA,0.0167747373536511,-443.44,0.414664028959621,0.250005458177105,0.187870480904687,TRUE,4.46454682725051,4.39898451675697,4.52502817292423,0.22141995561199,0.016846644128605,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O75509","Poly2",0.197996529038255,-0.0177044794382522,0.00377628899221717,NA,NA,0.00796110953762099,-568.65,0.263563885472733,0.199617280483025,0.198293060540625,FALSE,1.1791480598258,0.999113132826917,1.39271826308344,0.182370841465383,0.00793993953786459,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O75888","Exp3",0.213255067505369,NA,4.57669888542953,0.224172707337401,NA,0.0445808955300089,-279.23,0.244757044366183,0.666610441920828,0.221251137540625,TRUE,3.66935789235406,3.57482561323179,3.75905476944973,0.310412928600643,0.0436493254078363,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"O95760","Exp3",0.139931166047538,NA,6.26901598577915,0.18817664491198,NA,0.00592589905180695,-618.25,0.745464700196775,0.203884107321792,0.1882876599025,TRUE,4.5818761577062,4.49849955218749,4.65843622181361,0.200139458006114,0.00578943528945197,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"P00533","Exp3",0.0900698649872493,NA,2.65237417958545,0.186634664720113,NA,0.00530930421235492,-636.71,0.667759048891097,0.207682518779378,0.186327436290625,TRUE,3.6883182355358,3.52667661402341,3.83990418195089,0.196946044715335,0.00481108140218484,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
"P01031","Exp3",-0.202018307190767,NA,7.89236753634487,0.197636426923635,NA,0.0336290700882594,-326.59,0.91959027235342,0.0927442107884018,0.196528551196875,FALSE,4.44081394627482,4.38849015352834,4.48749366013419,0.129270411020356,0.031964980303859,TRUE,TRUE,TRUE,TRUE,TRUE,"Actinomycin D"
