GEO_accession,Cell_line,Plate,Well
GSM8779008,HepaRG,TC00000366,A02
GSM8779009,HepaRG,TC00000366,A03
GSM8779010,HepaRG,TC00000366,A04
GSM8779011,HepaRG,TC00000366,A05
GSM8779012,HepaRG,TC00000366,A06
GSM8779013,HepaRG,TC00000366,A07
GSM8779014,TeloHAEC,TC00000367,A02
GSM8779015,TeloHAEC,TC00000367,A03
GSM8779016,TeloHAEC,TC00000367,A04
GSM8779017,TIME,TC00000367,A05
GSM8779018,TIME,TC00000367,A06
GSM8779019,TIME,TC00000367,A07
GSM8779020,Ker-CT,TC00000367,A08
GSM8779021,Ker-CT,TC00000367,A09
GSM8779022,Ker-CT,TC00000367,A10
GSM8779023,ASC52Telo,TC00000367,A11
GSM8779024,ASC52Telo,TC00000367,A12
GSM8779025,ASC52Telo,TC00000367,B02
GSM8779026,RPTEC/TERT1,TC00000367,B03
GSM8779027,RPTEC/TERT1,TC00000367,B04
GSM8779028,RPTEC/TERT1,TC00000367,B05
GSM8779029,HSAEC1-KT,TC00000367,B06
GSM8779030,HSAEC1-KT,TC00000367,B07
GSM8779031,HSAEC1-KT,TC00000367,B08
GSM8779032,hTERT-HME1,TC00000367,B09
GSM8779033,hTERT-HME1,TC00000367,B10
GSM8779034,hTERT-HME1,TC00000367,B11
GSM8779035,hTERT-RPE1,TC00000367,B12
GSM8779036,hTERT-RPE1,TC00000367,C02
GSM8779037,hTERT-RPE1,TC00000367,C03
GSM8779038,BJ-5ta,TC00000367,C04
GSM8779039,BJ-5ta,TC00000367,C05
GSM8779040,BJ-5ta,TC00000367,C06
GSM8779041,A549,TC00000367,C07
GSM8779042,A549,TC00000367,C08
GSM8779043,A549,TC00000367,C09
GSM8779044,ARPE-19,TC00000367,C10
GSM8779045,ARPE-19,TC00000367,C11
GSM8779046,ARPE-19,TC00000367,C12
GSM8779047,U-2 OS,TC00000367,D02
GSM8779048,U-2 OS,TC00000367,D03
GSM8779049,U-2 OS,TC00000367,D04
GSM8779050,MCF7,TC00000367,D05
GSM8779051,MCF7,TC00000367,D06
GSM8779052,MCF7,TC00000367,D07
GSM8779053,HTB-9,TC00000367,D08
GSM8779054,HTB-9,TC00000367,D09
GSM8779055,HTB-9,TC00000367,D10
GSM8779056,hTERT-HPNE,TC00000367,D11
GSM8779057,hTERT-HPNE,TC00000367,D12
GSM8779058,hTERT-HPNE,TC00000367,E02
GSM8779059,HepG2,TC00000367,E03
GSM8779060,HepG2,TC00000367,E04
GSM8779061,HepG2,TC00000367,E05
GSM8779062,CCD-18Co,TC00000367,E06
GSM8779063,CCD-18Co,TC00000367,E07
GSM8779064,CCD-18Co,TC00000367,E08
GSM8779065,HBEC3-KT,TC00000367,E09
GSM8779066,HBEC3-KT,TC00000367,E10
GSM8779067,HBEC3-KT,TC00000367,E11
