GEO_accession,Cell_line,Plate,Well
GSM8779068,SK-MEL-28,TC00000367,E12
GSM8779069,SK-MEL-28,TC00000367,F02
GSM8779070,SK-MEL-28,TC00000367,F03
GSM8779071,HUVEC/TERT2,TC00000367,F04
GSM8779072,HUVEC/TERT2,TC00000367,F05
GSM8779073,HUVEC/TERT2,TC00000367,F06
GSM8779074,Daudi,TC00000367,F07
GSM8779075,Daudi,TC00000367,F08
GSM8779076,Daudi,TC00000367,F09
GSM8779077,BHY,TC00000367,F10
GSM8779078,BHY,TC00000367,F11
GSM8779079,BHY,TC00000367,F12
GSM8779080,A-704,TC00000367,G02
GSM8779081,A-704,TC00000367,G03
GSM8779082,A-704,TC00000367,G04
GSM8779083,CHON-001,TC00000367,G05
GSM8779084,CHON-001,TC00000367,G06
GSM8779085,CHON-001,TC00000367,G07
GSM8779086,DMS 454,TC00000367,G08
GSM8779087,DMS 454,TC00000367,G09
GSM8779088,DMS 454,TC00000367,G10
GSM8779089,KP-N-RT-BM-1,TC00000367,G11
GSM8779090,KP-N-RT-BM-1,TC00000367,G12
GSM8779091,KP-N-RT-BM-1,TC00000367,H02
GSM8779092,DV-90,TC00000367,H03
GSM8779093,DV-90,TC00000367,H04
GSM8779094,DV-90,TC00000367,H05
GSM8779095,NCI-H1092,TC00000367,H06
GSM8779096,NCI-H1092,TC00000367,H07
GSM8779097,NCI-H1092,TC00000367,H08
GSM8779098,SET-2,TC00000367,H09
GSM8779099,SET-2,TC00000367,H10
GSM8779100,SET-2,TC00000367,H11
GSM8779101,NCI-H1092,TC00000853,A01
GSM8779102,NCI-H1092,TC00000853,A02
GSM8779103,NCI-H1092,TC00000853,A03
GSM8779104,Detroit 551,TC00000853,A04
GSM8779105,Detroit 551,TC00000853,A05
GSM8779106,Detroit 551,TC00000853,A06
GSM8779107,HOS,TC00000853,A07
GSM8779108,HOS,TC00000853,A08
GSM8779109,HOS,TC00000853,A09
GSM8779110,MG-63,TC00000853,A10
GSM8779111,MG-63,TC00000853,A11
GSM8779112,MG-63,TC00000853,A12
GSM8779113,PLC/PRF/5,TC00000853,B01
GSM8779114,PLC/PRF/5,TC00000853,B02
GSM8779115,PLC/PRF/5,TC00000853,B03
GSM8779116,C3A,TC00000853,B04
GSM8779117,C3A,TC00000853,B05
GSM8779118,C3A,TC00000853,B06
GSM8779119,NCI-H1436,TC00000853,B07
GSM8779120,NCI-H1436,TC00000853,B08
GSM8779121,NCI-H1436,TC00000853,B09
GSM8779122,NCI-H1105,TC00000853,B10
GSM8779123,NCI-H1105,TC00000853,B11
GSM8779124,NCI-H1105,TC00000853,B12
GSM8779125,NCI-H2106,TC00000853,C01
GSM8779126,NCI-H2106,TC00000853,C02
GSM8779127,NCI-H2106,TC00000853,C03
GSM8779128,NCI-H2171,TC00000853,C04
GSM8779129,NCI-H2171,TC00000853,C05
GSM8779130,NCI-H2171,TC00000853,C06
GSM8779131,Hs 839.T,TC00000853,C07
GSM8779132,Hs 839.T,TC00000853,C08
GSM8779133,Hs 839.T,TC00000853,C09
GSM8779134,Hs-5,TC00000853,C10
GSM8779135,Hs-5,TC00000853,C11
GSM8779136,Hs-5,TC00000853,C12
GSM8779137,CAL-148,TC00000853,D01
GSM8779138,CAL-148,TC00000853,D02
GSM8779139,CAL-148,TC00000853,D03
GSM8779140,Huh-1,TC00000853,D04
GSM8779141,Huh-1,TC00000853,D05
GSM8779142,Huh-1,TC00000853,D06
GSM8779143,DOHH-2,TC00000853,D07
GSM8779144,DOHH-2,TC00000853,D08
GSM8779145,DOHH-2,TC00000853,D09
GSM8779146,SU-DHL-6,TC00000853,D10
GSM8779147,SU-DHL-6,TC00000853,D11
GSM8779148,SU-DHL-6,TC00000853,D12
GSM8779149,hNP1,TC00000853,E01
GSM8779150,hNP1,TC00000853,E02
GSM8779151,hNP1,TC00000853,E03
GSM8779152,T-47D,TC00000853,E04
GSM8779153,T-47D,TC00000853,E05
GSM8779154,T-47D,TC00000853,E06
GSM8779155,MHH-CALL-4,TC00000853,E07
GSM8779156,MHH-CALL-4,TC00000853,E08
GSM8779157,MHH-CALL-4,TC00000853,E09
GSM8779158,SaOS-2,TC00000853,E10
GSM8779159,SaOS-2,TC00000853,E11
GSM8779160,SaOS-2,TC00000853,E12
GSM8779161,Huh-7,TC00000853,F01
GSM8779162,Huh-7,TC00000853,F02
GSM8779163,Huh-7,TC00000853,F03
GSM8779164,EFM-19,TC00000853,F04
GSM8779165,EFM-19,TC00000853,F05
GSM8779166,EFM-19,TC00000853,F06
GSM8779167,CAL-78,TC00000853,F07
GSM8779168,CAL-78,TC00000853,F08
GSM8779169,CAL-78,TC00000853,F09
GSM8779170,BT-483,TC00000853,F10
GSM8779171,BT-483,TC00000853,F11
GSM8779172,BT-483,TC00000853,F12
GSM8779173,U-2 OS,TC00000853,G01
GSM8779174,U-2 OS,TC00000853,G02
GSM8779175,U-2 OS,TC00000853,G03
GSM8779176,MCF7,TC00000853,G04
GSM8779177,MCF7,TC00000853,G05
GSM8779178,MCF7,TC00000853,G06
GSM8779179,HepG2,TC00000853,G07
GSM8779180,HepG2,TC00000853,G08
GSM8779181,HepG2,TC00000853,G09
GSM8779182,CCD-18Co,TC00000853,G10
GSM8779183,CCD-18Co,TC00000853,G11
GSM8779184,CCD-18Co,TC00000853,G12
GSM8779185,Daudi,TC00000853,H01
GSM8779186,Daudi,TC00000853,H02
GSM8779187,Daudi,TC00000853,H03
